Elements,File,Time,RPS,Memory
10,spldoublylinkedlist-array.php,0.00204582,488.801556344,643216
10,spldoublylinkedlist-spl.php,0.00031888,3135.9759157,643216
10,splfixedarray-array.php,0.00049388,2024.78334818,642992
10,splfixedarray-spl.php,0.00032378,3088.51689419,642552
10,splminheap-array.php,0.0005891,1697.50466814,643272
10,splminheap-spl.php,0.00024244,4124.73189243,643400
10,splobjectstorage-array.php,0.00083588,1196.34397282,646064
10,splobjectstorage-spl.php,0.00112366,889.94891693217,646656
10,splpriorityqueue-array.php,0.00076366,1309.4832779,649264
10,splpriorityqueue-spl.php,0.00054246,1843.45389522,644112
10,splqueue-array.php,0.00027932,3580.12315624,642728
10,splqueue-spl.php,0.00026178,3820.001528,643240
10,splstack-array.php,0.00028898,3460.44708976,642728
10,splstack-spl.php,0.00058376,1713.03275319,643240
100,spldoublylinkedlist-array.php,0.00025182,3971.09046144,656496
100,spldoublylinkedlist-spl.php,0.0003299,3031.2215823,651856
100,splfixedarray-array.php,0.000261,3831.41762452,656272
100,splfixedarray-spl.php,0.00024494,4082.63248142,647616
100,splminheap-array.php,0.00141176,708.335694452,673312
100,splminheap-spl.php,0.00045466,2199.44573967,648256
100,splobjectstorage-array.php,0.00040662,2459.29860804,680928
100,splobjectstorage-spl.php,0.00036398,2747.4037035002,682976
100,splpriorityqueue-array.php,0.00244236,409.440049788,651256
100,splpriorityqueue-spl.php,0.0005767,1734.00381481,648560
100,splqueue-array.php,0.00038678,2585.44909251,656032
100,splqueue-spl.php,0.0003355,2980.62593145,651896
100,splstack-array.php,0.00033938,2946.54959043,656032
100,splstack-spl.php,0.00034674,2884.00530657,651896
500,spldoublylinkedlist-array.php,0.00074462,1342.96688244,713992
500,spldoublylinkedlist-spl.php,0.0007842,1275.18490181,690256
500,splfixedarray-array.php,0.00041286,2422.12856658,713768
500,splfixedarray-spl.php,0.00036112,2769.16260523,669992
500,splminheap-array.php,0.03252096,30.7493997717,730808
500,splminheap-spl.php,0.0022997,434.839326869,670528
500,splobjectstorage-array.php,0.00136568,732.235955714,834456
500,splobjectstorage-spl.php,0.000979,1021.4504596527,842976
500,splpriorityqueue-array.php,0.06754408,14.8051465058,684728
500,splpriorityqueue-spl.php,0.00276396,361.79973661,668720
500,splqueue-array.php,0.00288158,347.031836701,713528
500,splqueue-spl.php,0.00110944,901.355638881,690296
500,splstack-array.php,0.00074578,1340.87800692,713528
500,splstack-spl.php,0.00081284,1230.25441661,690296
1000,spldoublylinkedlist-array.php,0.00079998,1250.03125078,786032
1000,spldoublylinkedlist-spl.php,0.00101588,984.368232468,738256
1000,splfixedarray-array.php,0.0007137,1401.14894213,785864
1000,splfixedarray-spl.php,0.00053772,1859.70393513,698016
1000,splminheap-array.php,0.14747228,6.78093537307,806680
1000,splminheap-spl.php,0.00228916,436.841461497,698624
1000,splobjectstorage-array.php,0.0023361,428.063867129,1026608
1000,splobjectstorage-spl.php,0.0018705,534.61641272387,1043136
1000,splpriorityqueue-array.php,0.3192862,3.13198628691,721301.76
1000,splpriorityqueue-spl.php,0.00376288,265.753890637,694432
1000,splqueue-array.php,0.01105452,90.4607346135,785624
1000,splqueue-spl.php,0.00194898,513.088897782,738296
1000,splstack-array.php,0.001025,975.609756098,785624
1000,splstack-spl.php,0.00177284,564.066695246,738296
5000,spldoublylinkedlist-array.php,0.00304654,328.241217906,1387408
5000,spldoublylinkedlist-spl.php,0.00444628,224.907113362,1122256
5000,splfixedarray-array.php,0.00316718,315.738290845,1387224
5000,splfixedarray-spl.php,0.0019075,524.246395806,922032
5000,splminheap-array.php,4.4199499,0.226246908364,1440032
5000,splminheap-spl.php,0.01245824,80.2681598685,947968
5000,splobjectstorage-array.php,0.01480312,67.553326596,3046840
5000,splobjectstorage-spl.php,0.01238236,80.760048972894,3127400
5000,splpriorityqueue-array.php,11.5221675,0.0867892260723,958813.6
5000,splpriorityqueue-spl.php,0.01996008,50.0999995992,899177.6
5000,splqueue-array.php,0.28184216,3.54808521195,1381408
5000,splqueue-spl.php,0.00659148,151.71099662,1116608
5000,splstack-array.php,0.00554874,180.22109524,1381408
5000,splstack-spl.php,0.00671898,148.832114398,1116608
